Country,States/UTs,latitude,longitude,Number of hospitals in public sector,Number of hospitals in private sector,Total number of hospitals (public+private)
India,Uttar Pradesh,27.59998069,78.05000565,"4,635","12,468","17,103"
India,Karnataka,12.57038129,76.91999711,"2,842","7,842","10,684"
India,Rajasthan,26.44999921,74.63998124,"2,850","2,794","5,644"
India,Telangana,17.800676,79.00963,863,"3,247","4,110"
India,Kerala,8.900372741,76.56999263,"1,280","2,062","3,342"
India,Maharashtra,19.25023195,73.16017493,711,"2,492","3,203"
India,Bihar,25.78541445,87.4799727,"1,147","1,887","3,034"
India,Odisha,19.82042971,85.90001746,"1,806",695,"2,501"
India,Tamil Nadu,12.92038576,79.15004187,"1,217","1,222","2,439"
India,Punjab,31.51997398,75.98000281,682,"1,638","2,320"
India,West Bengal,22.58039044,88.32994665,"1,566",697,"2,263"
India,Haryana,28.45000633,77.01999101,668,"1,480","2,148"
India,Assam,26.7499809,94.21666744,"1,226",503,"1,729"
India,Gujarat,22.693367,71.58304,438,970,"1,408"
India,Jharkhand,23.80039349,86.41998572,555,809,"1,364"
India,Uttarakhand,30.32040895,78.05000565,460,829,"1,289"
India,Himachal Pradesh,31.10002545,77.16659704,801,235,"1,036"
India,Madhya Pradesh,21.30039105,76.13001949,465,506,971
India,Andhra Pradesh,14.7504291,78.57002559,258,670,928
India,Chhattisgarh,22.09042035,82.15998734,214,1822,396
India,Arunachal Pradesh,27.10039878,93.61660071,218,20,238
India,Meghalaya,25.57049217,91.8800142,157,28,185
India,Delhi,28.6699929,77.23000403,109,67,176
India,Tripura,23.83540428,91.27999914,156,8,164
India,Jammu & Kashmir,34.29995933,74.46665849,143,14,157
India,Mizoram,23.71039899,92.72001461,90,23,113
India,Goa,15.491997,73.81800065,43,22,65
India,Nagaland,25.6669979,94.11657019,36,13,49
India,Sikkim,27.3333303,88.6166475,33,8,41
India,Manipur,24.79997072,93.95001705,30,8,38
India,Andaman and Nicobar Islands,11.66702557,92.73598262,30,6,36
India,Daman & Diu,20.407747,72.854706,5,21,26
India,Puducherry,11.93499371,79.83000037,14,6,20
India,Dadra & N Haveli,20.26657819,73.0166178,12,6,18
India,Chandigarh,30.71999697,76.78000565,9,4,13
India,Lakshadweep,10.56257331,72.63686717,9,4,13
India,Ladakh,34.17,77.58,1,0,1
